['-5.017831660006418e-05', '0.0001384923191588224', '-0.0001886484949003568', '0.0001886920208108665', '-0.0001385987390522057', '5.0353534594082e-05', '5.019919414777683e-05', '-0.0001384743778835954', '0.0001886509740393689', '-0.0001886799937832842', '0.0001385615477150612', '-5.036725317183247e-05']
['8.601635698994329e-05', '-0.0001584234336389788', '0.0001957658323430629', '-0.000175361224894122', '0.0001146926114674055', '-1.479955663133391e-05', '-8.59761522080817e-05', '0.000158449509518476', '-0.0001957487373604691', '0.0001753801129974748', '-0.0001147712314607462', '1.477829984069837e-05']
['0.0001147358968173416', '-0.0001752068218500389', '0.0001957778999707262', '-0.0001584792105833758', '8.604786861480524e-05', '1.493623839299157e-05', '-0.0001147356659200897', '0.0001752214148824353', '-0.0001957530534771223', '0.0001583971926373207', '-8.596228403752289e-05', '-1.497841885919088e-05']
['0.0001385695022323058', '-0.0001886478476344968', '0.0001886398975962925', '-0.0001385199964325803', '5.021118384835404e-05', '5.027533218070513e-05', '-0.0001384060548350226', '0.0001886483569683863', '-0.0001886406319941706', '0.0001385309356057541', '-5.032192155521752e-05', '-5.032667211133587e-05']
['0.0001584827852062766', '-0.0001957509909484464', '0.0001753219145517249', '-0.0001147676086042872', '1.49117838386268e-05', '8.598156772174649e-05', '-0.0001584808877026117', '0.0001957741924023186', '-0.0001753209929820121', '0.0001147984465674762', '-1.489240359685087e-05', '-8.60591816463494e-05']
['0.0001752868287193303', '-0.0001957656529251523', '0.0001584460056685686', '-8.598931480685815e-05', '-1.485231129740539e-05', '0.0001147341060996824', '-0.0001752080466610194', '0.0001957529925536582', '-0.0001585407439439152', '8.599723086555536e-05', '1.484139529934396e-05', '-0.0001146689402164893']
['0.0001887075498518206', '-0.0001886664703806038', '0.0001383329814051279', '-5.030853119899176e-05', '-5.033572180039934e-05', '0.0001384686814117474', '-0.000188657908867235', '0.0001887122055149435', '-0.0001384332252986258', '5.037256722503328e-05', '5.029094606926862e-05', '-0.0001385226180566368']
['0.0001957587384800419', '-0.0001752930145894023', '0.0001147202414883419', '-1.486826291403369e-05', '-8.604751956954633e-05', '0.0001585313272954306', '-0.0001957480462545729', '0.0001752989815037335', '-0.0001148564696148652', '1.485946798621533e-05', '8.605515216781904e-05', '-0.0001584414589110719']
['0.0001957842724585348', '-0.000158465792187973', '8.603767507366817e-05', '1.491887119573235e-05', '-0.0001146579701463675', '0.0001752196411427099', '-0.0001957213423311335', '0.0001584817263935407', '-8.608339788860835e-05', '-1.488959648869387e-05', '0.0001146321752945895', '-0.0001752972333003531']
['0.0001886831952651432', '-0.0001384822911019579', '5.040222243802335e-05', '5.025755283147909e-05', '-0.0001384860290472799', '0.0001886471975619192', '-0.0001886745903333216', '0.0001384655715322838', '-5.034003877222298e-05', '-5.025771618443292e-05', '0.0001385861663057165', '-0.0001887633149732739']
['0.0001753879225429185', '-0.0001148178378966217', '1.479830888020405e-05', '8.599902591545143e-05', '-0.0001584280187919514', '0.0001957631456153076', '-0.0001753525073278302', '0.0001148533839077039', '-1.480306143283146e-05', '-8.598580777196765e-05', '0.0001584487531140567', '-0.0001958801596815994']
['0.0001585142006854002', '-8.602551859288057e-05', '-1.491713427996677e-05', '0.0001146714890967765', '-0.0001751962404243719', '0.0001957149302941259', '-0.0001584681954435517', '8.606443817102648e-05', '1.490799937510312e-05', '-0.0001146423619294995', '0.0001752386900223437', '-0.0001958758396298368']
['0.00013858304917234', '-5.025400590834311e-05', '-5.020014303433898e-05', '0.000138455516920306', '-0.0001886089107539419', '0.0001886371566175202', '-0.0001385104871300861', '5.02082962224211e-05', '5.028508094974534e-05', '-0.0001385376153353826', '0.0001886596284270425', '-0.0001887380277782001']
['0.0001148028224990961', '-1.48935805914833e-05', '-8.600792790267317e-05', '0.0001584357041646964', '-0.0001957793795917604', '0.0001753114512468676', '-0.0001146926400406978', '1.491891782822686e-05', '8.603010070740666e-05', '-0.000158481899298983', '0.0001957407872016847', '-0.0001753662321959148']
['8.598664621321587e-05', '1.489049146746808e-05', '-0.0001147249204168052', '0.000175348065536438', '-0.0001957596724590813', '0.0001584872904225669', '-8.607499953547552e-05', '-1.488704375343732e-05', '0.0001146797422062677', '-0.0001753187672532482', '0.0001957857603624746', '-0.0001584395824690455']
['5.03585096868716e-05', '5.036564902201983e-05', '-0.0001385408910600101', '0.0001886854421310021', '-0.0001886803615639003', '0.0001384605563397414', '-5.034809174320133e-05', '-5.032119198586145e-05', '0.0001385919213137777', '-0.0001886827297803911', '0.0001886707218803249', '-0.0001385166630040167']
['1.479212058266516e-05', '8.60618875694209e-05', '-0.0001585226956092305', '0.0001957798579480386', '-0.0001753176957221921', '0.00011486122798854', '-1.483811787140494e-05', '-8.596878576791128e-05', '0.0001585160953573936', '-0.0001957797937714262', '0.0001752837070973369', '-0.0001148550722378909']
['-1.496549334657673e-05', '0.0001147127974433533', '-0.0001753441761730617', '0.0001957642175382208', '-0.0001584782805065413', '8.610009390593827e-05', '1.488737015942213e-05', '-0.0001146065959270603', '0.0001753216775439515', '-0.0001957843065813598', '0.0001584686204631797', '-8.605255721848404e-05']
['-5.029846872324417e-05', '0.0001384868040760586', '-0.0001886434186770902', '0.0001886871089274722', '-0.000138527133498375', '5.036199813550695e-05', '5.019543266112283e-05', '-0.0001384765023221839', '0.0001886552419498815', '-0.0001886885320324902', '0.0001385248319272084', '-5.026924831904809e-05']
['-8.601789987616752e-05', '0.0001584259648470555', '-0.0001957647844738911', '0.0001753659025860833', '-0.0001147471654780924', '1.482366319811806e-05', '8.598112018182439e-05', '-0.0001584451796676228', '0.0001957499792759862', '-0.0001753793294871267', '0.0001148419108083291', '-1.479903660863821e-05']
['-0.0001146511317927722', '0.0001752030770240984', '-0.0001957326055562376', '0.0001584795904558459', '-8.608258328039471e-05', '-1.489886179993457e-05', '0.0001147382026828592', '-0.0001752178812239861', '0.0001957175920509478', '-0.0001585034434410166', '8.605226821197591e-05', '1.492316402367424e-05']
['-0.0001385532052472395', '0.0001886499431999463', '-0.000188638612824562', '0.0001385374291724584', '-5.020031821081149e-05', '-5.027167700947569e-05', '0.0001384239044476263', '-0.0001886177206189032', '0.0001886534468402469', '-0.0001385276964089459', '5.024562069975852e-05', '5.028497406796762e-05']
['-0.0001584218481067629', '0.0001957436910277186', '-0.0001753633995034517', '0.0001147600952436019', '-1.484449710017425e-05', '-8.595076547524435e-05', '0.0001584704076072066', '-0.0001957799124526114', '0.0001753458717316961', '-0.0001148407315557165', '1.486128717644724e-05', '8.605034422839105e-05']
['-0.0001753219527603795', '0.0001957584862946547', '-0.0001584533701741493', '8.612025894702709e-05', '1.48645341984147e-05', '-0.0001147493245895007', '0.000175200217557651', '-0.0001957614246102553', '0.0001584734427966307', '-8.601805392204668e-05', '-1.490693363069493e-05', '0.0001147708734424649']
['-0.000188734460624939', '0.0001886990926491311', '-0.0001384287959980714', '5.040187780769281e-05', '5.034516831661409e-05', '-0.0001385228454615162', '0.0001886881801073872', '-0.0001886828122300499', '0.0001384756299198475', '-5.033946544677422e-05', '-5.033058529460511e-05', '0.0001384470789037391']
['-0.000195910902333003', '0.0001753135450243767', '-0.0001147657767932805', '1.486787201333445e-05', '8.59902155197124e-05', '-0.000158426322453061', '0.0001957602591419289', '-0.0001752845101389624', '0.0001148771545769835', '-1.483454856101921e-05', '-8.604283879587571e-05', '0.0001584549781011347']
['-0.0001958878986288443', '0.0001585049190721692', '-8.608206934529854e-05', '-1.491031644465406e-05', '0.0001146559851810541', '-0.0001752065070526067', '0.0001957464136971206', '-0.0001584967335376904', '8.611640400899878e-05', '1.494054125845749e-05', '-0.0001145887696425489', '0.0001752202871247232']
['-0.000188743022358099', '0.0001384969466169601', '-5.03336148999708e-05', '-5.023050556554498e-05', '0.0001384282454039967', '-0.0001886250088524394', '0.0001887092769205227', '-0.0001384537754807565', '5.035468557454666e-05', '5.027735172178218e-05', '-0.0001385699189143154', '0.0001886634821294786']
['-0.0001753907622796129', '0.0001148210051437983', '-1.479519318196115e-05', '-8.596492184843855e-05', '0.000158437870238136', '-0.0001957547053690463', '0.0001753595058207474', '-0.0001148420474347016', '1.481882458836231e-05', '8.600130208226044e-05', '-0.0001584342185146892', '0.0001957508125052031']
['-0.0001583657670057225', '8.601175165986681e-05', '1.497146569493658e-05', '-0.0001146735355208492', '0.0001752219038586832', '-0.0001957537298976044', '0.000158374595924661', '-8.606158761788142e-05', '-1.495499910321045e-05', '0.0001146763479719471', '-0.0001752077330027387', '0.000195769884147516']
['-0.0001385967806881168', '5.026430718030355e-05', '5.022686198455925e-05', '-0.000138528226320956', '0.0001886249208471616', '-0.000188642909942453', '0.0001385344507382916', '-5.016003713036027e-05', '-5.026117848920919e-05', '0.000138558668683384', '-0.000188632992316331', '0.0001886415021596215']
['-0.0001148536609728649', '1.483345728105032e-05', '8.603406026113186e-05', '-0.0001584364587425724', '0.0001957924303226212', '-0.0001752981851911878', '0.0001147108674974583', '-1.491072384723786e-05', '-8.59951751578356e-05', '0.0001584981882269678', '-0.0001957466994331473', '0.000175349693949927']
['-8.601080097550875e-05', '-1.496759018428281e-05', '0.0001147735771209632', '-0.0001752250132008263', '0.0001957684436282909', '-0.0001584669897260992', '8.601312978996536e-05', '1.483849967302872e-05', '-0.000114672631075161', '0.0001752183461959818', '-0.0001957781365918496', '0.0001585111942818661']
['-5.029710824088615e-05', '-5.027892605692085e-05', '0.0001385387154889805', '-0.0001886810236641254', '0.0001886794710813591', '-0.000138448880728794', '5.02331081077968e-05', '5.032924809664494e-05', '-0.0001385806608854519', '0.000188692822951116', '-0.0001886691215925207', '0.0001384528818146691']
['-1.490162007192532e-05', '-8.601149835006045e-05', '0.0001585357555127558', '-0.0001957658870500058', '0.000175325997724873', '-0.0001148440066585619', '1.485862053189326e-05', '8.59865208814549e-05', '-0.0001584991700814715', '0.000195792367854326', '-0.0001752962370550418', '0.0001147996820855928']
['1.491048475968057e-05', '-0.0001147250518294735', '0.0001752250923427963', '-0.0001957609083608288', '0.0001584729259349961', '-8.602940184432722e-05', '-1.486596903790979e-05', '0.0001146128942420274', '-0.0001752112693523959', '0.0001957786333787053', '-0.0001584481792848046', '8.604653675188318e-05']
['5.02314324960084e-05', '-0.0001384891082033501', '0.0001886515349883708', '-0.0001886982784815177', '0.0001385381263343312', '-5.034893195972674e-05', '-5.01914107286892e-05', '0.0001384814099115655', '-0.0001886476570048711', '0.0001886968053262058', '-0.0001385567605556507', '5.030925953509156e-05']
['8.604774116910664e-05', '-0.0001584893064238311', '0.0001957584058536397', '-0.0001753498888090626', '0.0001147397532712268', '-1.483813485160726e-05', '-8.59936936015888e-05', '0.0001584365170433905', '-0.000195758050847894', '0.0001753693380276298', '-0.0001147472059226856', '1.479997090014562e-05']
['0.0001147296314362591', '-0.000175307233512146', '0.0001957656946199729', '-0.0001583659493422287', '8.609588271700353e-05', '1.493731257726521e-05', '-0.0001147514791310949', '0.0001752099274033491', '-0.0001957618492928573', '0.0001584960417781246', '-8.608028354766385e-05', '-1.497303597067557e-05']
['0.0001385465375852881', '-0.0001887729222867202', '0.0001886123996498144', '-0.0001385000394311521', '5.02727809783284e-05', '5.022588359298461e-05', '-0.0001384765905346875', '0.0001886275520246543', '-0.0001886354354752491', '0.0001385208592181606', '-5.02433924432761e-05', '-5.016770500364944e-05']
['0.0001585072251965444', '-0.0001958960041038511', '0.000175364587045758', '-0.0001148011375851547', '1.486897665400211e-05', '8.598792276848173e-05', '-0.0001584177655329872', '0.0001957874577307498', '-0.0001753044252720371', '0.0001147682477642904', '-1.486499753124494e-05', '-8.601874555685076e-05']
['0.0001753197797521194', '-0.0001958840285840681', '0.0001584857044231254', '-8.600055164381589e-05', '-1.489055531608867e-05', '0.0001147408303330645', '-0.000175289131508978', '0.0001957787381335593', '-0.0001585079337396191', '8.608674906725819e-05', '1.489996879649926e-05', '-0.0001147296999362353']
['0.0001886791843665061', '-0.0001887341943405138', '0.0001384392838700691', '-5.029661114711862e-05', '-5.026292088059604e-05', '0.0001385094584788682', '-0.0001886859964021519', '0.0001886855250628669', '-0.0001384700449818186', '5.032489328332506e-05', '5.030691254362123e-05', '-0.0001384905235556044']
['0.0001957820331165039', '-0.0001754001687154727', '0.0001148079660284209', '-1.483557749345578e-05', '-8.595076167013483e-05', '0.0001584351439185308', '-0.0001957550314527012', '0.0001752924705104223', '-0.0001148669407911313', '1.485725936339181e-05', '8.609550236733149e-05', '-0.0001584426007471509']
['0.0001957740604237088', '-0.0001585407623249031', '8.601793491860522e-05', '1.487854380859147e-05', '-0.0001146672274007374', '0.0001752187746907599', '-0.000195739256035661', '0.0001584559791135567', '-8.60395890326336e-05', '-1.488297826078827e-05', '0.0001147376598116416', '-0.0001752142151045814']
['0.0001886981883380214', '-0.0001385963932336275', '5.032146088817645e-05', '5.025745092346442e-05', '-0.0001384712808422741', '0.0001886478960922308', '-0.0001886861299175063', '0.0001384838772770749', '-5.03019539187449e-05', '-5.020641957260768e-05', '0.000138480949458219', '-0.0001886373926479456']
['0.0001753783482547287', '-0.0001148112182145524', '1.475717657175307e-05', '8.597329198291704e-05', '-0.0001584326844206063', '0.0001957568910005195', '-0.0001753553833510135', '0.0001148489101131304', '-1.481022974454303e-05', '-8.599533889856105e-05', '0.0001584415121825453', '-0.0001957514260835642']
['0.0001585743955497972', '-8.599619217514308e-05', '-1.497772885682719e-05', '0.0001146643120782819', '-0.0001752300172855799', '0.0001957073497280445', '-0.0001583932631874256', '8.602722552185902e-05', '1.485639055253599e-05', '-0.0001146831682923709', '0.0001752006127117858', '-0.0001957377689189897']
['0.0001385978462999859', '-5.02932833171608e-05', '-5.032988804472138e-05', '0.0001385656339123406', '-0.0001886347606142029', '0.000188649619992138', '-0.0001385327152306694', '5.019899109831692e-05', '5.022719897205945e-05', '-0.0001385270461836746', '0.0001886705301040571', '-0.0001886133778421975']
['0.0001147582709943862', '-1.490666738594092e-05', '-8.600918911296107e-05', '0.0001584322912974899', '-0.0001957594947532399', '0.0001753145400448473', '-0.0001146888590405959', '1.49092787605589e-05', '8.600932498759622e-05', '-0.0001584784058182862', '0.0001957606414603567', '-0.0001753251356015239']
['8.602599773520712e-05', '1.489031140777259e-05', '-0.0001147330933418333', '0.0001752332785252519', '-0.0001957528850746822', '0.0001585437659036747', '-8.607221056303352e-05', '-1.48845505030368e-05', '0.00011468165791961', '-0.0001753099846036556', '0.0001957919666811638', '-0.0001584509220382562']
['5.034928672460677e-05', '5.033465380213672e-05', '-0.0001386251283749013', '0.0001886763561724609', '-0.0001886748370752794', '0.0001384499931206574', '-5.036419375403497e-05', '-5.033838487070604e-05', '0.0001385774821574832', '-0.000188693810958096', '0.0001886632763867836', '-0.0001383093138952154']
['1.482308172844588e-05', '8.594725252954084e-05', '-0.0001584892351558534', '0.0001957638768879231', '-0.0001753150499786025', '0.000114840545330607', '-1.484234281848871e-05', '-8.598825157103178e-05', '0.0001584966257519757', '-0.0001957939642450778', '0.0001752978143914861', '-0.0001147421628576901']
['-1.485629194068159e-05', '0.0001146987157250041', '-0.0001753217317917792', '0.0001957702792952961', '-0.0001584735488378663', '8.604110003098802e-05', '1.488066664834162e-05', '-0.0001146023838200431', '0.0001752210390937493', '-0.0001957725826693976', '0.0001584573435076983', '-8.603284188442402e-05']
['-5.017597399697443e-05', '0.0001384841370063329', '-0.0001887650898096552', '0.0001886731621192928', '-0.0001384778522198194', '5.036897153067639e-05', '5.017739077283365e-05', '-0.0001384903204765531', '0.0001886452783815373', '-0.0001886861531917035', '0.0001385526125074458', '-5.029258298197407e-05']
['-8.602384792856068e-05', '0.0001584491047583992', '-0.0001958809404458402', '0.0001753602100880046', '-0.0001146670613432172', '1.483104753965181e-05', '8.600490441671871e-05', '-0.0001584276005501597', '0.0001957637915707895', '-0.0001753623395564281', '0.0001147584580564811', '-1.481126533176459e-05']
['-0.000114707535635724', '0.0001752279732142038', '-0.0001958850262433332', '0.0001584991489680348', '-8.601870452804405e-05', '-1.488324417653751e-05', '0.0001147593875919353', '-0.0001752032206923878', '0.0001957686404069912', '-0.0001584846419789376', '8.600332601307436e-05', '1.490634123461854e-05']
['-0.000138543181265904', '0.0001886406106082384', '-0.0001887135934415686', '0.0001384915848151027', '-5.020947586785127e-05', '-5.016753448433892e-05', '0.0001384652644253507', '-0.0001886182251462199', '0.0001886422832211513', '-0.0001385220887395781', '5.03778817371582e-05', '5.018023019058013e-05']
['-0.0001584796599844767', '0.0001957754697389871', '-0.0001753629206823557', '0.0001148280746925331', '-1.488569000247726e-05', '-8.598273229822062e-05', '0.0001584797712581053', '-0.0001957775737384061', '0.0001753418880054461', '-0.0001148090077389102', '1.489825647843588e-05', '8.59725102544959e-05']
['-0.0001753093140256003', '0.0001957856200881113', '-0.0001584363428801828', '8.602076107726521e-05', '1.492205289425595e-05', '-0.0001147366058937856', '0.0001753105504971877', '-0.0001957603212442656', '0.0001585334612006305', '-8.605232105914164e-05', '-1.486481781816206e-05', '0.0001145878054398054']
['-0.0001886762314273594', '0.0001886999405407029', '-0.0001385673410617449', '5.029316274644806e-05', '5.031660968969242e-05', '-0.0001384259075822705', '0.0001886863421477596', '-0.0001886715343491845', '0.0001384714735785991', '-5.032134995624074e-05', '-5.032576170355643e-05', '0.0001385097552787454']
['-0.000195781534503435', '0.0001753004021591209', '-0.0001146403999583817', '1.478852589417319e-05', '8.596247426174092e-05', '-0.0001585225059252544', '0.0001957555035676675', '-0.0001752990578852909', '0.0001148725264790635', '-1.485933253543751e-05', '-8.611265778552175e-05', '0.0001585309961011761']
['-0.0001957759468393939', '0.0001584964890771988', '-8.597022779686373e-05', '-1.492495680057231e-05', '0.0001146533098924046', '-0.0001753127593034823', '0.0001957415760877361', '-0.0001585049507579356', '8.61027811214042e-05', '1.491127414480861e-05', '-0.0001147202318951215', '0.000175332350769076']
['-0.0001886846956986794', '0.0001385053730806892', '-5.030598583886354e-05', '-5.030857928322436e-05', '0.0001384904912772579', '-0.0001886547178116179', '0.0001886990028602923', '-0.0001384669042059529', '5.032045294868676e-05', '5.022816448986465e-05', '-0.0001384643747634974', '0.0001886499068009971']
['-0.0001753658316405096', '0.0001146923034016064', '-1.473224890862921e-05', '-8.595729840727107e-05', '0.0001584467274585961', '-0.0001957503873326809', '0.0001753667493198594', '-0.0001148336586548869', '1.482795913958759e-05', '8.601017026035695e-05', '-0.0001584286275839235', '0.0001957603395409614']
['-0.0001585682261149109', '8.605658466927192e-05', '1.492935149796208e-05', '-0.0001147084599021228', '0.0001752191443969797', '-0.0001957370645847391', '0.0001584935409124669', '-8.603079354034388e-05', '-1.486921403194414e-05', '0.0001146759947399122', '-0.0001752112548146485', '0.0001957749735612222']
['-0.0001385795256575644', '5.026878168555003e-05', '5.020103619318153e-05', '-0.0001385621080262857', '0.0001886335920504104', '-0.0001886322817231365', '0.0001385505833370307', '-5.017698062835038e-05', '-5.021201256962789e-05', '0.0001385504563397959', '-0.0001886435446355773', '0.0001886244950903541']
['-0.0001148196926880716', '1.490466126343179e-05', '8.605871574739528e-05', '-0.0001584050976461429', '0.0001957582294196246', '-0.0001753148126724174', '0.0001146724609857633', '-1.490651941314981e-05', '-8.598912329141718e-05', '0.0001584790842959284', '-0.0001957633476688518', '0.0001753251081891989']
['-8.6077370970116e-05', '-1.486855161463373e-05', '0.0001147674778947346', '-0.0001753062493253317', '0.0001957844370033825', '-0.0001584978978393457', '8.604362058452661e-05', '1.489222489147189e-05', '-0.0001147152580710289', '0.0001752351238095626', '-0.0001957622915051825', '0.0001584898864583852']
['-5.030985979047253e-05', '-5.027200779920868e-05', '0.0001384679789817411', '-0.0001887260284228633', '0.0001887177297178329', '-0.0001384528435159969', '5.036519082168989e-05', '5.034980868207017e-05', '-0.0001384334724135067', '0.000188688747617051', '-0.0001886677957923166', '0.0001382773948744028']
['-1.484441465736611e-05', '-8.609890626030552e-05', '0.0001585344460703544', '-0.0001959117172221835', '0.0001753073903255587', '-0.0001146562703465886', '1.487288561197625e-05', '8.597546676390384e-05', '-0.0001585052605400952', '0.0001957890557353167', '-0.0001753010181865298', '0.0001148202124608065']
['1.485866573161995e-05', '-0.000114655758312219', '0.0001753329463487776', '-0.0001958875122840058', '0.0001584999633110074', '-8.603192490416183e-05', '-1.487097449490329e-05', '0.0001146094252695065', '-0.0001752161343850668', '0.0001957770177278524', '-0.000158463484553742', '8.604452308011287e-05']
['5.020738556944824e-05', '-0.0001385319692470009', '0.0001886652462299658', '-0.0001887357189783758', '0.0001385007523745906', '-5.035584598546009e-05', '-5.016198852823457e-05', '0.0001385040037582735', '-0.0001886391078965147', '0.0001887076430065395', '-0.0001385431870071459', '5.03931777636215e-05']
['8.600204817883713e-05', '-0.0001584171167860951', '0.0001957707178915384', '-0.0001753756518194157', '0.000114684577755888', '-1.478245888126968e-05', '-8.597527446303638e-05', '0.0001584511115290233', '-0.000195725132868121', '0.0001753845746030606', '-0.0001147889395311656', '1.479065441626737e-05']
['0.0001145955060361637', '-0.0001751893251901456', '0.0001957436050708912', '-0.0001584434410270998', '8.604859307251258e-05', '1.495346185302942e-05', '-0.0001147221849017577', '0.0001752307926534002', '-0.0001957453200833732', '0.0001585195530608383', '-8.608634302223916e-05', '-1.490793060968586e-05']
['0.0001384822770737867', '-0.0001886189668833761', '0.0001886281773773436', '-0.0001385668210508086', '5.020529250513231e-05', '5.026856814539564e-05', '-0.0001384080410176274', '0.000188633149944797', '-0.0001886314694379068', '0.0001385269109380121', '-5.030617226641638e-05', '-5.022083518541675e-05']
['0.0001584695871939313', '-0.0001957754171997585', '0.0001753267071075481', '-0.0001146743062834243', '1.481328207075673e-05', '8.599048135758e-05', '-0.0001584757455380564', '0.0001957778111872377', '-0.0001753353386025078', '0.0001147484251203606', '-1.489629033268931e-05', '-8.594806712991076e-05']
['0.0001753183212083604', '-0.0001957778475374987', '0.0001585233144397655', '-8.606213035289045e-05', '-1.492230535885047e-05', '0.0001146762974238857', '-0.0001752998488498258', '0.0001957694584664582', '-0.000158522325724823', '8.600102532978831e-05', '1.489750100762831e-05', '-0.0001145765572514648']
['0.0001886857259707354', '-0.0001886614072452257', '0.0001384508370592297', '-5.035053132006862e-05', '-5.031007198639342e-05', '0.0001384404588870177', '-0.0001886771822083028', '0.0001886931285867034', '-0.0001384605244196018', '5.033589095584419e-05', '5.034134355038096e-05', '-0.0001384894959077478']
['0.0001957880875829998', '-0.0001753076940967888', '0.0001148319820843425', '-1.485368301611494e-05', '-8.599021539718725e-05', '0.0001584450681722937', '-0.0001957467363513451', '0.0001753080036065356', '-0.0001148597835248672', '1.484498495768117e-05', '8.605358976440516e-05', '-0.0001585194332391268']
['0.0001957709301599923', '-0.0001584349805157424', '8.60442910762868e-05', '1.494540066407806e-05', '-0.000114721793105786', '0.0001752031617832647', '-0.0001957584183894143', '0.0001585028550628631', '-8.598749960995138e-05', '-1.489710907525612e-05', '0.0001146563271273631', '-0.0001753257119380201']
['0.0001887123949814571', '-0.000138530284350715', '5.038280724336756e-05', '5.021254622609867e-05', '-0.0001385230189819228', '0.000188670793229041', '-0.0001886839408484814', '0.0001384832649319648', '-5.030462955876007e-05', '-5.026117554123953e-05', '0.0001384850326674963', '-0.0001886355092255142']
['0.0001753772389437129', '-0.000114804659024203', '1.478930765269958e-05', '8.598126771515398e-05', '-0.0001584839666574336', '0.0001957605754305525', '-0.0001753645970042202', '0.0001148516984641445', '-1.480535183756733e-05', '-8.599725850015455e-05', '0.0001584403459942312', '-0.0001957520396746122']
['0.0001585131562726202', '-8.610227783249195e-05', '-1.49622417446131e-05', '0.000114697371339777', '-0.0001752902710708222', '0.0001957796509618373', '-0.0001584706641221357', '8.610527074313846e-05', '1.495703738644164e-05', '-0.0001147387002739973', '0.0001752342598838369', '-0.0001957536327137294']
['0.0001385494210529043', '-5.017945840377113e-05', '-5.016777687782223e-05', '0.0001385118560260075', '-0.00018877574667589', '0.0001886192669568102', '-0.0001385318503390185', '5.017079955227722e-05', '5.025964499594991e-05', '-0.0001384327406787261', '0.0001886417166801575', '-0.0001886401029064019']
['0.0001148121400848254', '-1.489943423067669e-05', '-8.605243943555225e-05', '0.0001584451708110751', '-0.0001959279180808735', '0.0001753258383118949', '-0.0001146598010434276', '1.492494351009624e-05', '8.609661197607803e-05', '-0.0001585106734058529', '0.0001957667186187066', '-0.0001753177680182624']
['8.600992544970367e-05', '1.485278977897892e-05', '-0.0001147430619084884', '0.0001752279488641141', '-0.000195891149628278', '0.0001585258303783206', '-8.600936278576219e-05', '-1.483228584327269e-05', '0.0001147476299689046', '-0.0001752174964825948', '0.0001957798101950873', '-0.0001584649416489283']
['5.028973076336995e-05', '5.034714965049742e-05', '-0.0001384160608513856', '0.000188666362848119', '-0.0001887466302468077', '0.0001384352690371716', '-5.025651532795366e-05', '-5.036152935943883e-05', '0.0001384192403430811', '-0.0001886978019117084', '0.0001886448748432383', '-0.0001382902750264679']
['1.487136833456392e-05', '8.606943095289459e-05', '-0.0001584351135111653', '0.0001957832575518793', '-0.0001753993609144264', '0.0001146731844905636', '-1.484402061462267e-05', '-8.595142427140253e-05', '0.0001585220035436682', '-0.0001957761078527866', '0.0001753157669302517', '-0.0001148033625466681']
['-1.491331294160888e-05', '0.0001146593595600405', '-0.000175216867015119', '0.0001957712011048764', '-0.0001584138905947787', '8.601337896051706e-05', '1.48835238990345e-05', '-0.0001145982881094282', '0.0001752219887656069', '-0.0001957695084002638', '0.0001584741491891557', '-8.612026967271453e-05']
