['-5.017831660006418e-05', '0.0001384923191588224', '-0.0001886484949003568', '0.0001886920208108665', '-0.0001385987390522057', '5.0353534594082e-05', '5.019919414777683e-05', '-0.0001384743778835954', '0.0001886509740393689', '-0.0001886799937832842', '0.0001385615477150612', '-5.036725317183247e-05']
['0.0001584561651186775', '-0.000195786068335218', '0.0001753318458771385', '-0.0001146845198088638', '1.489781016638532e-05', '8.600363412883185e-05', '-0.0001585714431196402', '0.0001957682256639478', '-0.0001753471129996303', '0.0001148010024363482', '-1.49011115243375e-05', '-8.596580516706693e-05']
['0.0001752097786051954', '-0.0001957757709687317', '0.0001584657352295358', '-8.602059768833899e-05', '-1.484275530336175e-05', '0.0001147515075433829', '-0.0001753844931934179', '0.0001957685453627354', '-0.0001584679041486316', '8.600111776809041e-05', '1.488703357844591e-05', '-0.0001145867501948289']
['0.0001886921189451541', '-0.0001886549711356624', '0.0001383075940396372', '-5.018472004792275e-05', '-5.028096719451441e-05', '0.0001384468410133778', '-0.0001887377855145539', '0.0001886866222249311', '-0.0001384502530833188', '5.034871754051418e-05', '5.031881615731688e-05', '-0.0001385167466978079']
['0.0001957939730703136', '-0.0001753063519060718', '0.0001147363460123322', '-1.484405660258866e-05', '-8.592165259315416e-05', '0.0001584571494848816', '-0.0001959176290672946', '0.0001753181347518958', '-0.0001148436269773246', '1.488696530345463e-05', '8.613556152611929e-05', '-0.0001585141022314978']
['0.0001957576747707117', '-0.0001584514000278664', '8.609669101353995e-05', '1.488707412595942e-05', '-0.0001146104290397533', '0.0001751921629200559', '-0.000195889591737795', '0.0001584913612858761', '-8.600482170323589e-05', '-1.49105640078997e-05', '0.0001146821860940759', '-0.0001752224051604524']
['0.0001886970828927291', '-0.0001385332621137094', '5.040426851156405e-05', '5.021056977711809e-05', '-0.0001384646644791844', '0.0001886677122578252', '-0.0001887329753918634', '0.0001384824057437065', '-5.030827662117721e-05', '-5.026485812001811e-05', '0.0001384821978375913', '-0.0001886377343614951']
['0.0001753637587225234', '-0.0001147720143837921', '1.483351811516378e-05', '8.599650352582113e-05', '-0.0001584443851998438', '0.0001957525156851363', '-0.0001754099635209968', '0.0001148177512413146', '-1.48061244303309e-05', '-8.601094835427399e-05', '0.0001584279427544719', '-0.0001957396232050364']
['0.0001585190312761431', '-8.603398134600494e-05', '-1.490347440378708e-05', '0.0001146193036485203', '-0.0001752004440970388', '0.0001957509116467652', '-0.0001584855929803997', '8.607190473805198e-05', '1.494522812940962e-05', '-0.0001147470618608117', '0.0001752266890825611', '-0.000195760931020906']
['0.0001385728115986342', '-5.020784070407966e-05', '-5.024981244094971e-05', '0.0001384542904098026', '-0.0001886445549326445', '0.0001886607351238515', '-0.0001385867341156959', '5.014693653328298e-05', '5.023887610453095e-05', '-0.0001384095692080665', '0.0001886576732492415', '-0.0001886409616068755']
['0.0001147928649807038', '-1.485805108940356e-05', '-8.593648435244358e-05', '0.0001584380714384026', '-0.0001957591307363195', '0.0001753134740137254', '-0.0001147584134862364', '1.481274993315269e-05', '8.601510672441374e-05', '-0.0001584771872889712', '0.0001957635430629928', '-0.0001753267509048733']
['8.60003726825928e-05', '1.487380223727259e-05', '-0.0001147291425638161', '0.0001752207825201334', '-0.0001957698353098862', '0.000158522839346509', '-8.600848087122398e-05', '-1.49456121971991e-05', '0.0001147380024358369', '-0.0001752217156853004', '0.0001957757322200589', '-0.0001584714249046132']
['5.029896378319205e-05', '5.033445229517455e-05', '-0.0001385128266642347', '0.0001886735814358643', '-0.0001886876955647083', '0.0001384458062208296', '-5.029500052018565e-05', '-5.033592202416191e-05', '0.0001384266271577281', '-0.0001886924978503592', '0.0001886503925644685', '-0.0001382816229645343']
['1.486550947566219e-05', '8.598557770522533e-05', '-0.000158474597771938', '0.0001957586840565949', '-0.000175310056327333', '0.0001148369088392562', '-1.487988719255541e-05', '-8.601146800164456e-05', '0.0001584879404006514', '-0.00019580176655486', '0.0001752845341828767', '-0.0001147074932967146']
['-1.489138108344365e-05', '0.0001146603554923479', '-0.0001753160184961238', '0.0001957872445396699', '-0.0001584486513182202', '8.606119947591508e-05', '1.492790902565929e-05', '-0.0001146527593967809', '0.0001752333034579699', '-0.0001957549680074482', '0.0001584871242677512', '-8.610198048081482e-05']
['-5.017898001882187e-05', '0.000138490803280394', '-0.000188650978544919', '0.0001886944856799624', '-0.0001384794614407417', '5.038241357546122e-05', '5.017604037921791e-05', '-0.0001385941974598023', '0.0001886563272989107', '-0.0001886999408745922', '0.0001385694087226896', '-5.036910661105734e-05']
['-8.596324958502641e-05', '0.0001584844124268742', '-0.0001957430518852111', '0.0001753869316435047', '-0.000114830685544454', '1.48367617452151e-05', '8.602136154059501e-05', '-0.0001585485856236951', '0.0001957710425866073', '-0.0001753358277903567', '0.0001147186625120119', '-1.481983754003166e-05']
['-0.0001145742816685212', '0.0001752092522353366', '-0.0001957327791923228', '0.0001584988500688855', '-8.60388017068188e-05', '-1.493058446014511e-05', '0.0001146728544955538', '-0.0001753071666841538', '0.0001957192060440984', '-0.0001585145296131938', '8.60873991453735e-05', '1.490133716798002e-05']
['-0.0001384776353380915', '0.0001886406768604653', '-0.000188641421522604', '0.000138534293169233', '-5.023102360721316e-05', '-5.025014039803055e-05', '0.0001384266492285923', '-0.0001887682997187032', '0.0001886430324615434', '-0.0001384518591363197', '5.035506034760457e-05', '5.023183035224907e-05']
['-0.0001584840517482005', '0.0001957950355345699', '-0.0001753013773328318', '0.0001146795029309584', '-1.486425101089498e-05', '-8.594608980658467e-05', '0.0001584876091738897', '-0.0001959184629557657', '0.0001753626022887656', '-0.0001147635731258044', '1.489390454466487e-05', '8.604722075078528e-05']
['-0.0001752982870059138', '0.0001957948000431988', '-0.0001584405929821024', '8.605669664154372e-05', '1.488541887899441e-05', '-0.000114724136747917', '0.0001752168378465349', '-0.0001958792015748579', '0.000158491157116494', '-8.593188418714172e-05', '-1.475922894838664e-05', '0.000114603800181854']
